NBCC PGV values for building code localities,,,,,,,,,,,,,,,
"mean values, soil class C",,,,,,,,,,,,,,,
,,,Annual probability,,,,,,,,,,,,
-104.62,52.87,PGV,0.0009,0.0014,0.002,0.0046,0.0087,0.0147,0.0222,0.025,0.0365,0.0521,161,Melfort,SK
-102.8,50.92,PGV,0.0008,0.0014,0.0022,0.0052,0.0107,0.0183,0.028,0.0316,0.0455,0.0633,162,Melville,SK
-105.53,50.4,PGV,0.0011,0.0018,0.0029,0.0068,0.0138,0.0241,0.037,0.042,0.0607,0.0837,163,Moose Jaw,SK
-104,53.37,PGV,0.0009,0.0013,0.002,0.0044,0.0082,0.0141,0.0213,0.0242,0.0355,0.0512,164,Nipawin,SK
-108.28,52.78,PGV,0.0013,0.0019,0.0027,0.0053,0.0095,0.0154,0.0228,0.0256,0.037,0.0524,165,North Battleford,SK
-105.77,53.2,PGV,0.0009,0.0014,0.0021,0.0046,0.0086,0.0145,0.0218,0.0246,0.0359,0.0515,166,Prince Albert,SK
-103.88,50.55,PGV,0.0009,0.0016,0.0025,0.0062,0.0128,0.0224,0.0346,0.0392,0.0568,0.079,167,Qu'Appelle,SK
-104.62,50.45,PGV,0.0009,0.0016,0.0027,0.0067,0.014,0.0246,0.0382,0.0434,0.0633,0.0881,168,Regina,SK
-108,51.55,PGV,0.002,0.0029,0.0037,0.0067,0.0114,0.0176,0.0255,0.0284,0.04,0.0555,169,Rosetown,SK
-106.63,52.12,PGV,0.0011,0.0017,0.0024,0.0051,0.0097,0.0159,0.0239,0.0268,0.0385,0.0541,170,Saskatoon,SK
-108.83,52.37,PGV,0.002,0.0028,0.0036,0.0064,0.0108,0.0166,0.0241,0.0269,0.0382,0.0534,171,Scott,SK
-104.95,51.07,PGV,0.0009,0.0016,0.0024,0.0057,0.0115,0.0196,0.03,0.0336,0.0482,0.0668,172,Strasbourg,SK
-107.8,50.28,PGV,0.0025,0.0035,0.0045,0.0083,0.0139,0.0213,0.0308,0.0341,0.0476,0.0648,173,Swift Current,SK
-108.62,59.57,PGV,0.0006,0.0009,0.0013,0.0033,0.0063,0.0117,0.0189,0.0216,0.0332,0.0493,174,Uranium City,SK
-103.85,49.67,PGV,0.0009,0.0017,0.003,0.0085,0.0191,0.0366,0.0622,0.0722,0.1152,0.1781,175,Weyburn,SK
-102.47,51.22,PGV,0.0007,0.0012,0.0019,0.0047,0.0096,0.0167,0.0256,0.0289,0.0419,0.0587,176,Yorkton,SK
-96.517,50.067,PGV,0.0005,0.0008,0.0012,0.0032,0.0064,0.012,0.0196,0.0225,0.0346,0.0513,177,Beausejour,MB
-100.05,49.233,PGV,0.0006,0.001,0.0015,0.0041,0.0083,0.0149,0.0233,0.0264,0.0387,0.055,178,Boissevain,MB
-99.95,49.833,PGV,0.0005,0.0007,0.0011,0.003,0.0059,0.0112,0.0184,0.0213,0.0331,0.0495,179,Brandon,MB
-94.12,58.75,PGV,0.0006,0.001,0.0014,0.0035,0.0067,0.0121,0.0193,0.0221,0.0339,0.0506,180,Churchill,MB
-100.05,51.15,PGV,0.0007,0.0011,0.0016,0.0041,0.008,0.0142,0.0219,0.0248,0.0365,0.0525,181,Dauphin,MB
-101.88,54.77,PGV,0.0007,0.0011,0.0016,0.0039,0.0072,0.0127,0.0199,0.0226,0.0342,0.0503,182,Flin Flon,MB
-96.99,50.64,PGV,0.0005,0.0008,0.0012,0.0033,0.0064,0.012,0.0195,0.0223,0.0344,0.0509,183,Gimli,MB
-94.667,53.867,PGV,0.0006,0.001,0.0014,0.0036,0.0068,0.0123,0.0196,0.0225,0.0343,0.0509,184,Island Lake,MB
-96.06,50.27,PGV,0.0005,0.0008,0.0012,0.0033,0.0065,0.0123,0.0199,0.0229,0.0351,0.0519,185,Lac du Bonnet,MB
