NBCC PGA values for building code localities,,,,,,,,,,,,,,,
"mean values, soil class C",,,,,,,,,,,,,,,
,,,Annual probability,,,,,,,,,,,,
-123.14,49.234,PGA,0.0535,0.0689,0.084,0.1328,0.1916,0.2642,0.3452,0.3732,0.476,0.5959,84,Vancouver (Granville & 41 Ave),BC
-123.17,49.33,PGA,0.049,0.0634,0.0777,0.1232,0.1796,0.2492,0.3279,0.3547,0.4563,0.5734,85,West Vancouver,BC
-119.27,50.3,PGA,0.0041,0.0056,0.0072,0.0135,0.0227,0.0362,0.0538,0.0607,0.0887,0.1279,86,Vernon,BC
-123.32,48.42,PGA,0.0861,0.1101,0.1345,0.2116,0.3063,0.4176,0.5351,0.5768,0.7206,0.8749,87,Victoria Gonzales Height,BC
-123.33,48.47,PGA,0.0862,0.1103,0.1345,0.2113,0.3054,0.4156,0.5324,0.5737,0.7167,0.8708,88,Victoria Mt Tolmie,BC
-123.37,48.43,PGA,0.0856,0.1096,0.1339,0.2117,0.3072,0.4199,0.5388,0.5812,0.7261,0.8809,89,Victoria,BC
-122.15,52.133,PGA,0.0042,0.0057,0.0075,0.0142,0.0237,0.0371,0.0549,0.0618,0.0911,0.1341,90,Williams Lake,BC
-124.2,48.88,PGA,0.0642,0.0836,0.1038,0.1735,0.2643,0.3746,0.493,0.5323,0.6736,0.8218,91,Youbou,BC
-113.28,54.72,PGA,0.0013,0.0022,0.0033,0.0069,0.013,0.0219,0.0344,0.0393,0.0607,0.0909,92,Athabasca,AB
-115.57,51.17,PGA,0.0049,0.0079,0.0116,0.0252,0.0457,0.0753,0.1133,0.1276,0.1858,0.2628,93,Banff,AB
-114.4,54.13,PGA,0.0017,0.0029,0.0041,0.0094,0.0183,0.0332,0.0557,0.0651,0.1071,0.1724,94,Barrhead,AB
-119.43,55.22,PGA,0.0023,0.0038,0.0054,0.0128,0.0246,0.0434,0.0703,0.0811,0.128,0.1968,95,Beaverlodge,AB
-111.88,50.58,PGA,0.0025,0.0036,0.0049,0.0105,0.0199,0.0359,0.0612,0.0718,0.1201,0.1906,96,Brooks,AB
-114.08,51.05,PGA,0.004,0.006,0.0085,0.0182,0.033,0.0552,0.0857,0.0975,0.1473,0.2159,97,Calgary,AB
-114.65,54.13,PGA,0.0018,0.0031,0.0043,0.0099,0.0194,0.0354,0.0601,0.0702,0.1151,0.1832,98,Campsie,AB
-112.83,53.02,PGA,0.0016,0.0026,0.0038,0.0087,0.0169,0.0302,0.0499,0.058,0.093,0.1441,99,Camrose,AB
-113.3,49.2,PGA,0.0103,0.0143,0.0185,0.0327,0.0519,0.0793,0.1162,0.1306,0.1929,0.2819,100,Cardston,AB
-113.58,50.03,PGA,0.0055,0.008,0.0108,0.021,0.0366,0.0607,0.094,0.107,0.1615,0.2377,101,Claresholm,AB
-110.17,54.45,PGA,0.0011,0.0017,0.0025,0.0053,0.0099,0.0169,0.0274,0.0317,0.051,0.0791,102,Cold Lake,AB
-114.5,49.63,PGA,0.008,0.0116,0.0153,0.0286,0.0476,0.0757,0.1135,0.1281,0.1894,0.2739,103,Coleman,AB
-111.45,52.08,PGA,0.0016,0.0026,0.0037,0.0077,0.0144,0.0244,0.0386,0.0442,0.0673,0.0982,104,Coronation,AB
-114.08,49.57,PGA,0.0085,0.0122,0.016,0.0297,0.049,0.0774,0.1154,0.1302,0.1922,0.2777,105,Cowley,AB
-112.7,51.47,PGA,0.0023,0.0036,0.0049,0.0111,0.0211,0.038,0.0638,0.0745,0.1227,0.1931,106,Drumheller,AB
-113.47,53.55,PGA,0.0016,0.0027,0.0039,0.009,0.0176,0.032,0.0542,0.0635,0.1059,0.173,107,Edmonton,AB
-116.43,53.58,PGA,0.0034,0.0052,0.0075,0.0164,0.0296,0.0493,0.0766,0.0871,0.1323,0.1978,108,Edson,AB
-111.47,58.45,PGA,0.0011,0.0016,0.0023,0.0048,0.009,0.0158,0.026,0.0303,0.0502,0.0821,109,Embarras Portage,AB
-118.38,56.07,PGA,0.0016,0.0028,0.0042,0.0105,0.021,0.0384,0.0646,0.0752,0.1221,0.1915,110,Fairview,AB
-113.42,49.72,PGA,0.0065,0.0095,0.0126,0.0235,0.0394,0.0637,0.0975,0.1108,0.167,0.245,111,Fort MacLeod,AB
-111.38,56.73,PGA,0.0011,0.0017,0.0024,0.0051,0.0094,0.0162,0.0264,0.0307,0.0507,0.0819,112,Fort McMurray,AB
