NBCC Sa(0.3) second values for building code localities,,,,,,,,,,,,,,,
"mean values, soil class C",,,,,,,,,,,,,,,
,,,Annual probability,,,,,,,,,,,,
-112.83,53.02,0.3,0.0044,0.0064,0.0088,0.017,0.0283,0.0448,0.0673,0.076,0.1129,0.1661,99,Camrose,AB
-113.3,49.2,0.3,0.0282,0.0377,0.0471,0.0777,0.115,0.1645,0.2269,0.2505,0.3478,0.482,100,Cardston,AB
-113.58,50.03,0.3,0.0172,0.0231,0.0291,0.0496,0.0778,0.118,0.1713,0.1915,0.2741,0.3844,101,Claresholm,AB
-110.17,54.45,0.3,0.0023,0.0036,0.0048,0.0101,0.0171,0.027,0.0401,0.0452,0.0663,0.0955,102,Cold Lake,AB
-114.5,49.63,0.3,0.0234,0.0317,0.04,0.0681,0.1053,0.1571,0.225,0.2508,0.3558,0.4967,103,Coleman,AB
-111.45,52.08,0.3,0.0044,0.0062,0.0082,0.0152,0.0244,0.0375,0.0546,0.0611,0.0868,0.1202,104,Coronation,AB
-114.08,49.57,0.3,0.0244,0.0328,0.0415,0.0701,0.1075,0.1593,0.227,0.2528,0.3582,0.4999,105,Cowley,AB
-112.7,51.47,0.3,0.0071,0.0101,0.013,0.0232,0.0378,0.0592,0.0881,0.0994,0.1478,0.2179,106,Drumheller,AB
-113.47,53.55,0.3,0.0045,0.0066,0.0091,0.0176,0.0294,0.047,0.0717,0.0816,0.1255,0.1926,107,Edmonton,AB
-116.43,53.58,0.3,0.0088,0.0134,0.0181,0.0348,0.0582,0.0905,0.1311,0.1461,0.2054,0.283,108,Edson,AB
-111.47,58.45,0.3,0.002,0.0033,0.0044,0.0093,0.0159,0.0251,0.0378,0.0429,0.0651,0.0978,109,Embarras Portage,AB
-118.38,56.07,0.3,0.0044,0.0067,0.0096,0.0196,0.0339,0.0552,0.0844,0.0959,0.145,0.2162,110,Fairview,AB
-113.42,49.72,0.3,0.0201,0.0269,0.0338,0.0565,0.0862,0.1273,0.1813,0.2018,0.2865,0.4013,111,Fort MacLeod,AB
-111.38,56.73,0.3,0.0022,0.0035,0.0047,0.0098,0.0165,0.0259,0.0388,0.0438,0.0658,0.0977,112,Fort McMurray,AB
-113.22,53.72,0.3,0.0041,0.006,0.0082,0.0159,0.0263,0.0414,0.0614,0.0689,0.0996,0.1402,113,Fort Saskatchewan,AB
-116,58.4,0.3,0.0026,0.0038,0.0051,0.0106,0.0179,0.0282,0.0417,0.0468,0.0687,0.1003,114,Fort Vermilion,AB
-118.8,55.17,0.3,0.006,0.0094,0.013,0.026,0.0449,0.0723,0.1079,0.1213,0.1764,0.251,115,Grande Prairie,AB
-118.73,58.83,0.3,0.0044,0.0059,0.0077,0.0139,0.0223,0.0344,0.0502,0.0562,0.0804,0.1127,116,Habay,AB
-111.3,52.67,0.3,0.0039,0.0054,0.0073,0.0138,0.0222,0.0342,0.0499,0.0559,0.08,0.1116,117,Hardisty,AB
-113.87,50.58,0.3,0.0136,0.0185,0.0238,0.0426,0.0699,0.1092,0.1598,0.1787,0.2526,0.3474,118,High River,AB
-117.58,53.4,0.3,0.0114,0.0176,0.0246,0.0508,0.0892,0.1447,0.2176,0.2455,0.3569,0.5049,119,Hinton,AB
-118.08,52.88,0.3,0.0128,0.0195,0.0271,0.0554,0.0962,0.1536,0.2274,0.2549,0.3647,0.5095,120,Jasper,AB
-117.62,57.75,0.3,0.0032,0.0046,0.0062,0.0126,0.0212,0.0334,0.0491,0.055,0.079,0.1112,121,Keg River,AB
-111.97,54.77,0.3,0.0029,0.0041,0.0055,0.0112,0.0187,0.0294,0.0436,0.0489,0.0713,0.1022,122,Lac la Biche,AB
-113.73,52.47,0.3,0.0064,0.0096,0.0129,0.0245,0.0407,0.0637,0.094,0.1056,0.1544,0.2238,123,Lacombe,AB
-112.82,49.7,0.3,0.0175,0.0232,0.0288,0.0467,0.0693,0.0991,0.136,0.1496,0.2038,0.2753,124,Lethbridge,AB
-117.62,56.92,0.3,0.0034,0.005,0.007,0.0145,0.0246,0.039,0.0579,0.065,0.0934,0.1308,125,Manning,AB
-110.67,50.05,0.3,0.007,0.0098,0.0122,0.02,0.0301,0.0439,0.062,0.0688,0.0965,0.133,126,Medicine Hat,AB
-117.28,56.23,0.3,0.0039,0.0057,0.008,0.0163,0.0278,0.0449,0.0684,0.0777,0.1169,0.1744,127,Peace River,AB
-113.95,49.48,0.3,0.0257,0.0346,0.0437,0.0734,0.1115,0.1638,0.2313,0.2568,0.3612,0.5022,128,Pincher Creek,AB
-111.68,53.42,0.3,0.0036,0.0051,0.0068,0.0132,0.0213,0.0329,0.0482,0.0541,0.0778,0.1092,129,Ranfurly,AB
-113.8,52.27,0.3,0.0069,0.0104,0.0138,0.0261,0.0433,0.0676,0.0992,0.111,0.1604,0.2293,130,Red Deer,AB
-114.92,52.37,0.3,0.0092,0.0137,0.0185,0.0358,0.0603,0.0943,0.1379,0.1537,0.2173,0.2998,131,Rocky Mountain House,AB
-114.77,55.28,0.3,0.0038,0.0054,0.0073,0.0145,0.0239,0.0371,0.0546,0.0613,0.0875,0.1219,132,Slave Lake,AB
-112.72,52.32,0.3,0.0055,0.0079,0.0106,0.0195,0.0322,0.0508,0.0769,0.0872,0.1327,0.2013,133,Stettler,AB
-114,53.53,0.3,0.0051,0.0076,0.0105,0.0199,0.0333,0.053,0.0804,0.0912,0.1384,0.2091,134,Stony Plain,AB
-111.17,50.2,0.3,0.0078,0.0108,0.0135,0.0221,0.0334,0.0497,0.0719,0.0808,0.1188,0.1744,135,Suffield,AB
-112.15,49.78,0.3,0.0137,0.018,0.0223,0.036,0.0533,0.0766,0.1065,0.1179,0.1654,0.2321,136,Taber,AB
-114.28,50.67,0.3,0.014,0.0193,0.0252,0.0473,0.0808,0.1303,0.1961,0.221,0.3225,0.4586,137,Turner Valley,AB
-117.28,55.07,0.3,0.0055,0.0085,0.0118,0.0229,0.0387,0.0616,0.0916,0.1032,0.1516,0.2211,138,Valleyview,AB
-112.05,53.5,0.3,0.0035,0.0049,0.0066,0.0132,0.0218,0.034,0.0501,0.0562,0.0807,0.1128,139,Vegreville,AB
-110.85,53.37,0.3,0.0033,0.0046,0.0061,0.0121,0.0196,0.0303,0.0445,0.0499,0.0723,0.1029,140,Vermilion,AB
-114.98,55.35,0.3,0.0038,0.0055,0.0075,0.0147,0.0243,0.0378,0.0557,0.0625,0.0894,0.1247,141,Wagner,AB
-110.87,52.82,0.3,0.0035,0.0049,0.0066,0.0127,0.0205,0.0316,0.0461,0.0517,0.0745,0.105,142,Wainwright,AB
-113.37,52.97,0.3,0.0051,0.0076,0.0105,0.0198,0.0332,0.0529,0.0803,0.0912,0.1388,0.2097,143,Wetaskiwin,AB
-115.68,54.15,0.3,0.006,0.0092,0.0125,0.0239,0.0396,0.0621,0.0915,0.1029,0.1506,0.2201,144,Whitecourt,AB
-113.58,51.87,0.3,0.0077,0.0112,0.0146,0.027,0.0446,0.0693,0.1014,0.1134,0.1631,0.2319,145,Wimborne,AB
-105.98,49.63,0.3,0.0028,0.0049,0.0078,0.0202,0.0388,0.0649,0.0961,0.1073,0.1495,0.2006,146,Assiniboia,SK
-108.33,50.55,0.3,0.0035,0.005,0.0067,0.0134,0.0223,0.0343,0.0489,0.0542,0.0753,0.1028,147,Battrum,SK
-108,52.07,0.3,0.0028,0.0041,0.0055,0.0115,0.0189,0.029,0.0422,0.0472,0.0681,0.0971,148,Biggar,SK
-102.58,50.37,0.3,0.0023,0.004,0.0058,0.0139,0.0246,0.0394,0.0574,0.0639,0.0881,0.1184,149,Broadview,SK
-104.53,51.75,0.3,0.0025,0.004,0.0056,0.0121,0.0205,0.0319,0.0463,0.0516,0.0732,0.102,150,Dafoe,SK
-106.5,51.82,0.3,0.0026,0.004,0.0055,0.0119,0.0199,0.0308,0.0445,0.0496,0.0706,0.0993,151,Dundurn,SK
-102.98,49.13,0.3,0.0021,0.0042,0.0068,0.0185,0.0358,0.0607,0.0905,0.1015,0.1423,0.1916,152,Estevan,SK
-102.38,52.85,0.3,0.0019,0.0033,0.0045,0.0099,0.0169,0.0265,0.0396,0.0448,0.0669,0.0977,153,Hudson Bay,SK
-105.12,52.2,0.3,0.0025,0.0039,0.0054,0.0114,0.0191,0.0296,0.0431,0.0482,0.0694,0.0988,154,Humboldt,SK
-102.35,55.53,0.3,0.0014,0.0025,0.0037,0.008,0.0148,0.0244,0.0379,0.0433,0.0661,0.0976,155,Island Falls,SK
-101.9,51.57,0.3,0.0019,0.0034,0.0048,0.0108,0.0187,0.0294,0.0432,0.0484,0.0699,0.0997,156,Kamsack,SK
-109.17,51.47,0.3,0.0034,0.0047,0.0063,0.0123,0.0202,0.031,0.0448,0.0499,0.0711,0.0998,157,Kindersley,SK
-110,53.28,0.3,0.0031,0.0043,0.0057,0.0115,0.0187,0.0289,0.0424,0.0476,0.0693,0.0991,158,Lloydminster,SK
-109.48,49.92,0.3,0.005,0.0069,0.0089,0.0156,0.0243,0.0364,0.0517,0.0574,0.0799,0.1092,159,Maple Creek,SK
-108.43,54.13,0.3,0.0025,0.0038,0.0051,0.0106,0.0173,0.0268,0.0399,0.0451,0.067,0.0971,160,Meadow Lake,SK
-104.62,52.87,0.3,0.0024,0.0038,0.0051,0.0107,0.0178,0.0274,0.0405,0.0456,0.0672,0.0974,161,Melfort,SK
-102.8,50.92,0.3,0.0023,0.004,0.0056,0.0129,0.0224,0.0354,0.0515,0.0574,0.0803,0.1094,162,Melville,SK
-105.53,50.4,0.3,0.0027,0.0046,0.0069,0.0164,0.0298,0.048,0.0702,0.078,0.1071,0.1422,163,Moose Jaw,SK
